DateTime,Logined Users,Machine Load
2022-10-21 14:36:22,0,0.0
2022-10-21 14:41:17,0,0.0
2022-10-21 14:46:22,0,0.0
2022-10-21 14:51:22,0,0.0
2022-10-21 14:56:07,0,0.0
2022-10-21 15:01:22,0,0.0
2022-10-21 15:06:22,0,0.0
2022-10-21 15:11:17,0,0.0
2022-10-21 15:16:22,0,0.0
2022-10-21 15:21:18,0,0.0
2022-10-21 15:26:44,0,0.0
2022-10-21 15:31:27,0,0.0
2022-10-21 15:36:07,0,0.0
2022-10-21 15:41:48,0,0.0
2022-10-21 15:46:22,0,0.0
2022-10-21 15:51:17,0,0.0
2022-10-21 15:56:17,0,0.0
2022-10-21 16:01:22,0,0.0
2022-10-21 16:06:22,0,0.0
2022-10-21 16:11:17,0,0.0
2022-10-21 16:16:07,0,0.0
2022-10-21 16:21:22,0,0.0
2022-10-21 16:26:17,0,0.0
2022-10-21 16:31:22,0,0.0
2022-10-21 16:36:07,0,0.0
2022-10-21 16:41:22,0,0.0
2022-10-21 16:46:22,0,0.0
2022-10-21 16:51:07,0,0.0
2022-10-21 16:56:22,0,0.0
2022-10-21 17:01:22,0,0.0
2022-10-21 17:06:22,0,0.0
2022-10-21 17:11:17,0,0.0
2022-10-21 17:16:07,0,0.0
2022-10-21 17:21:22,0,0.0
2022-10-21 17:26:17,0,0.0
2022-10-21 17:31:17,0,0.0
2022-10-21 17:36:17,0,0.0
2022-10-21 17:41:17,0,0.0
2022-10-21 17:46:22,0,0.0
2022-10-21 17:51:22,0,0.0
2022-10-21 17:56:07,0,0.0
2022-10-21 18:01:22,0,0.0
2022-10-21 18:06:22,0,0.0
2022-10-21 18:11:17,0,0.0
2022-10-21 18:18:16,0,0.0
2022-10-21 18:21:22,0,0.0
2022-10-21 18:28:16,0,0.0
2022-10-21 18:31:22,0,0.0
2022-10-21 18:36:07,0,0.0
2022-10-21 18:41:22,0,0.0
2022-10-21 18:46:22,0,0.0
2022-10-21 18:51:22,0,0.0
2022-10-21 18:58:16,0,0.0
2022-10-21 19:01:22,0,0.0
2022-10-21 19:06:22,0,0.0
2022-10-21 19:13:16,0,0.0
2022-10-21 19:16:07,0,0.0
2022-10-21 19:21:07,0,0.0
2022-10-21 19:26:22,0,0.0
2022-10-21 19:31:22,0,0.0
2022-10-21 19:38:16,0,0.0
2022-10-21 19:41:22,0,0.0
2022-10-21 19:46:22,0,0.0
2022-10-21 19:51:22,0,0.0
2022-10-21 19:56:17,0,0.0
2022-10-21 20:01:22,0,0.0
2022-10-21 20:06:22,0,0.0
2022-10-21 20:11:17,0,0.0
2022-10-21 20:16:07,0,0.0
2022-10-21 20:21:22,0,0.0
2022-10-21 20:26:17,0,0.0
2022-10-21 20:31:22,0,0.0
2022-10-21 20:38:16,0,0.0
2022-10-21 20:41:22,0,0.0
2022-10-21 20:46:22,0,0.0
2022-10-21 20:51:22,0,0.0
2022-10-21 20:56:07,0,0.0
2022-10-21 21:01:07,0,0.0
2022-10-21 21:06:22,0,0.0
2022-10-21 21:11:17,0,0.0
2022-10-21 21:16:07,0,0.0
2022-10-21 21:21:48,0,0.0
2022-10-21 21:28:36,0,0.0
2022-10-21 21:31:17,0,0.0
2022-10-21 21:36:27,0,0.0
2022-10-21 21:43:06,0,0.0
2022-10-21 21:46:44,0,0.0
2022-10-21 21:53:36,0,0.0
2022-10-21 21:56:17,0,0.0
2022-10-21 22:01:48,0,0.0
2022-10-21 22:06:44,0,0.0
2022-10-21 22:11:47,0,0.0
2022-10-21 22:16:27,0,0.0
2022-10-21 22:21:07,0,0.0
2022-10-21 22:26:22,0,0.0
2022-10-21 22:31:22,0,0.0
2022-10-21 22:36:17,0,0.0
2022-10-21 22:41:22,0,0.0
2022-10-21 22:46:22,0,0.0
2022-10-21 22:51:22,0,0.0
2022-10-21 22:56:17,0,0.0
2022-10-21 23:01:22,0,0.0
2022-10-21 23:06:22,0,0.0
2022-10-21 23:11:17,0,0.0
2022-10-21 23:16:17,0,0.0
2022-10-21 23:21:22,0,0.0
2022-10-21 23:26:17,0,0.0
2022-10-21 23:31:27,0,0.0
2022-10-21 23:36:07,0,0.0
2022-10-21 23:41:48,0,0.0
2022-10-21 23:46:37,0,0.0
2022-10-21 23:51:47,0,0.0
2022-10-21 23:56:27,0,0.0
2022-10-22 00:01:07,0,0.0
2022-10-22 00:06:44,0,0.0
2022-10-22 00:11:37,0,0.0
2022-10-22 00:16:17,0,0.0
2022-10-22 00:21:48,0,0.0
2022-10-22 00:26:44,0,0.0
2022-10-22 00:31:27,0,0.0
2022-10-22 00:38:06,0,0.0
2022-10-22 00:41:48,0,0.0
2022-10-22 00:46:37,0,0.0
2022-10-22 00:51:17,0,0.0
2022-10-22 00:56:44,0,0.0
2022-10-22 01:01:17,0,0.0
2022-10-22 01:06:44,0,0.0
2022-10-22 01:11:37,0,0.0
2022-10-22 01:16:27,0,0.0
2022-10-22 01:21:07,0,0.0
2022-10-22 01:26:44,0,0.0
2022-10-22 01:31:37,0,0.0
2022-10-22 01:36:37,0,0.0
2022-10-22 01:41:17,0,0.0
2022-10-22 01:46:44,0,0.0
2022-10-22 01:51:47,0,0.0
2022-10-22 01:56:27,0,0.0
2022-10-22 02:01:07,0,0.0
2022-10-22 02:06:22,0,0.0
2022-10-22 02:11:17,0,0.0
2022-10-22 02:16:22,0,0.0
2022-10-22 02:21:17,0,0.0
2022-10-22 02:26:22,0,0.0
2022-10-22 02:31:22,0,0.0
2022-10-22 02:36:22,0,0.0
2022-10-22 02:41:07,0,0.0
2022-10-22 02:46:22,0,0.0
2022-10-22 02:51:22,0,0.0
2022-10-22 02:56:17,0,0.0
2022-10-22 03:03:06,0,0.0
2022-10-22 03:06:22,0,0.0
2022-10-22 03:11:17,0,0.0
2022-10-22 03:16:22,0,0.0
2022-10-22 03:21:17,0,0.0
2022-10-22 03:26:22,0,0.0
2022-10-22 03:31:22,0,0.0
2022-10-22 03:36:22,0,0.0
2022-10-22 03:41:07,0,0.0
2022-10-22 03:46:22,0,0.0
2022-10-22 03:51:22,0,0.0
2022-10-22 03:58:16,0,0.0
2022-10-22 04:01:17,0,0.0
2022-10-22 04:06:22,0,0.0
2022-10-22 04:11:17,0,0.0
2022-10-22 04:16:22,0,0.0
2022-10-22 04:23:06,0,0.0
2022-10-22 04:26:07,0,0.0
2022-10-22 04:31:22,0,0.0
2022-10-22 04:36:22,0,0.0
2022-10-22 04:41:17,0,0.0
2022-10-22 04:46:22,0,0.0
2022-10-22 04:53:22,0,0.0
2022-10-22 04:56:17,0,0.0
2022-10-22 05:01:22,0,0.0
2022-10-22 05:06:07,0,0.0
2022-10-22 05:11:22,0,0.0
2022-10-22 05:16:22,0,0.0
2022-10-22 05:21:17,0,0.0
2022-10-22 05:26:22,0,0.0
2022-10-22 05:31:22,0,0.0
2022-10-22 05:36:22,0,0.0
2022-10-22 05:41:17,0,0.0
2022-10-22 05:46:07,0,0.0
2022-10-22 05:51:22,0,0.0
2022-10-22 05:56:17,0,0.0
2022-10-22 06:01:07,0,0.0
2022-10-22 06:06:22,0,0.0
2022-10-22 06:11:17,0,0.0
2022-10-22 06:16:22,0,0.0
2022-10-22 06:21:17,0,0.0
2022-10-22 06:26:22,0,0.0
2022-10-22 06:31:22,0,0.0
2022-10-22 06:36:22,0,0.0
2022-10-22 06:41:17,0,0.0
2022-10-22 06:46:07,0,0.0
2022-10-22 06:51:22,0,0.0
2022-10-22 06:56:17,0,0.0
2022-10-22 07:01:17,0,0.0
2022-10-22 07:06:22,0,0.0
2022-10-22 07:11:17,0,0.0
2022-10-22 07:16:22,0,0.0
2022-10-22 07:21:07,0,0.0
2022-10-22 07:26:22,0,0.0
2022-10-22 07:31:22,0,0.0
2022-10-22 07:36:17,0,0.0
2022-10-22 07:41:22,0,0.0
2022-10-22 07:46:22,0,0.0
2022-10-22 07:51:22,0,0.0
2022-10-22 07:56:07,0,0.0
2022-10-22 08:01:22,0,0.0
2022-10-22 08:06:22,0,0.0
2022-10-22 08:11:17,0,0.0
2022-10-22 08:16:22,0,0.0
2022-10-22 08:21:22,0,0.0
2022-10-22 08:28:16,0,0.0
2022-10-22 08:31:07,0,0.0
2022-10-22 08:36:22,0,0.0
2022-10-22 08:41:17,0,0.0
2022-10-22 08:46:22,0,0.0
2022-10-22 08:51:22,0,0.0
2022-10-22 08:56:07,0,0.0
2022-10-22 09:01:22,0,0.0
2022-10-22 09:06:22,0,0.0
2022-10-22 09:13:16,0,0.0
2022-10-22 09:16:17,0,0.0
2022-10-22 09:21:22,0,0.0
2022-10-22 09:26:17,0,0.0
2022-10-22 09:31:22,0,0.0
2022-10-22 09:36:07,0,0.0
2022-10-22 09:41:22,0,0.0
2022-10-22 09:46:22,0,0.0
2022-10-22 09:51:22,0,0.0
2022-10-22 09:56:17,0,0.0
2022-10-22 10:01:48,0,0.0
2022-10-22 10:06:43,0,0.0
2022-10-22 10:11:27,0,0.0
2022-10-22 10:16:07,0,0.0
2022-10-22 10:21:48,0,0.0
2022-10-22 10:26:43,0,0.0
2022-10-22 10:31:27,0,0.0
2022-10-22 10:36:07,0,0.0
2022-10-22 10:41:48,0,0.0
2022-10-22 10:46:37,0,0.0
2022-10-22 10:51:17,0,0.0
2022-10-22 10:56:17,0,0.0
2022-10-22 11:01:48,0,0.0
2022-10-22 11:06:43,0,0.0
2022-10-22 11:11:27,0,0.0
2022-10-22 11:16:07,0,0.0
2022-10-22 11:21:47,0,0.0
2022-10-22 11:26:37,0,0.0
2022-10-22 11:31:37,0,0.0
2022-10-22 11:38:16,0,0.0
2022-10-22 11:41:48,0,0.0
2022-10-22 11:48:42,0,0.0
2022-10-22 11:53:16,0,0.0
2022-10-22 11:58:42,0,0.0
2022-10-22 12:01:47,0,0.0
2022-10-22 12:06:43,0,0.0
2022-10-22 12:11:37,0,0.0
2022-10-22 12:16:43,0,0.0
2022-10-22 12:21:48,0,0.0
2022-10-22 12:26:43,0,0.0
2022-10-22 12:31:27,0,0.0
2022-10-22 12:36:07,0,0.0
2022-10-22 12:43:06,0,0.0
2022-10-22 12:46:43,0,0.0
2022-10-22 12:51:37,0,0.0
2022-10-22 12:56:17,0,0.0
